Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
373,9,Moderate Uphill,103.741,103.787,0.046,5,579.7,582.1,2.4
374,8,Gentle Uphill,103.787,103.856,0.069,4,582.1,585.1,3
375,7,Flat,103.856,104.339,0.483,-1,578.2,585.6,7.4
376,6,Gentle Downhill,104.339,104.431,0.092,-4,574.8,578.2,3.4
377,5,Moderate Downhill,104.431,104.546,0.115,-7,567,574.8,7.7
378,6,Gentle Downhill,104.546,104.569,0.023,-4,566,567,1
379,7,Flat,104.569,104.638,0.069,0,565.7,566.1,0.4
380,8,Gentle Uphill,104.638,104.822,0.184,4,566.1,573.8,7.7
381,9,Moderate Uphill,104.822,104.914,0.092,6,573.8,579.6,5.8
382,8,Gentle Uphill,104.914,104.937,0.023,4,579.6,580.5,0.9
383,7,Flat,104.937,105.397,0.46,1,579.7,583.4,3.7
384,8,Gentle Uphill,105.397,105.42,0.023,3,583.4,584,0.6
385,7,Flat,105.42,105.673,0.253,1,584,587.2,3.2
386,8,Gentle Uphill,105.673,105.742,0.069,4,587.2,589.8,2.6
387,9,Moderate Uphill,105.742,105.811,0.069,6,589.8,593.6,3.8
388,8,Gentle Uphill,105.811,105.856,0.046,4,593.6,595.4,1.8
389,7,Flat,105.856,105.902,0.046,0,595.3,595.6,0.2
390,6,Gentle Downhill,105.902,106.086,0.184,-4,587.4,595.3,7.9
391,5,Moderate Downhill,106.086,106.155,0.069,-5,583.9,587.4,3.6
392,6,Gentle Downhill,106.155,106.178,0.023,-5,582.7,583.9,1.1
393,5,Moderate Downhill,106.178,106.477,0.299,-7,562,582.7,20.7
394,4,Steep Downhill,106.477,106.592,0.115,-9,552.1,562,9.9
395,5,Moderate Downhill,106.592,106.638,0.046,-7,548.9,552.1,3.2
396,6,Gentle Downhill,106.638,106.661,0.023,-5,547.8,548.9,1.1
397,7,Flat,106.661,106.753,0.092,0,547.3,548.1,0.8
398,8,Gentle Uphill,106.753,106.776,0.023,3,548.1,548.7,0.6
399,7,Flat,106.776,107.213,0.437,-1,546.4,550,3.6
400,6,Gentle Downhill,107.213,107.42,0.207,-4,538.8,546.4,7.5
401,7,Flat,107.42,107.581,0.161,1,538.6,540.7,2.1
402,8,Gentle Uphill,107.581,107.926,0.345,4,540.7,553.3,12.6
403,7,Flat,107.926,109.03,1.104,0,550.5,556.5,6
404,6,Gentle Downhill,109.03,109.099,0.069,-4,552.6,555.1,2.4
405,5,Moderate Downhill,109.099,109.467,0.368,-6,530.6,552.6,22.1
406,6,Gentle Downhill,109.467,109.605,0.138,-3,525.8,530.6,4.8
407,7,Flat,109.605,109.766,0.161,-2,522.7,525.8,3.1
408,6,Gentle Downhill,109.766,110.111,0.345,-3,511.6,522.7,11.1
409,5,Moderate Downhill,110.111,110.318,0.207,-6,499.3,511.6,12.3
410,6,Gentle Downhill,110.318,110.341,0.023,-4,498.4,499.3,0.9
411,7,Flat,110.341,110.617,0.276,0,497.2,498.4,1.2
412,8,Gentle Uphill,110.617,110.732,0.115,4,498.3,502.6,4.2
413,7,Flat,110.732,110.893,0.161,0,502,503.2,1.2
414,6,Gentle Downhill,110.893,111.284,0.391,-4,486.1,502,15.9
415,7,Flat,111.284,111.491,0.207,1,485.2,487.2,2.1
416,8,Gentle Uphill,111.491,111.629,0.138,3,487.2,491.3,4
417,7,Flat,111.629,111.79,0.161,0,491.3,492.4,1.2
418,6,Gentle Downhill,111.79,111.928,0.138,-4,485.9,491.8,5.9
419,5,Moderate Downhill,111.928,111.951,0.023,-5,484.7,485.9,1.2
420,6,Gentle Downhill,111.951,111.974,0.023,-5,483.6,484.7,1.1
421,5,Moderate Downhill,111.974,112.112,0.138,-6,474.7,483.6,8.9
422,4,Steep Downhill,112.112,112.158,0.046,-8,470.9,474.7,3.8
423,5,Moderate Downhill,112.158,112.181,0.023,-8,469.1,470.9,1.8
424,4,Steep Downhill,112.181,112.227,0.046,-8,465.2,469.1,3.8
425,5,Moderate Downhill,112.227,112.296,0.069,-7,460.2,465.2,5
426,6,Gentle Downhill,112.296,112.341,0.046,-4,458.4,460.2,1.8
427,7,Flat,112.341,112.686,0.344,0,457.9,459.7,1.8
428,8,Gentle Uphill,112.686,112.732,0.046,4,459.7,461.4,1.7
429,9,Moderate Uphill,112.732,113.145,0.413,7,461.4,489.6,28.2
430,8,Gentle Uphill,113.145,113.168,0.023,4,489.6,490.4,0.8
431,7,Flat,113.168,116.618,3.45,0,490.4,506.3,15.9
432,8,Gentle Uphill,116.618,116.871,0.253,4,506.3,516.9,10.6
433,9,Moderate Uphill,116.871,116.917,0.046,5,516.9,519.2,2.3
434,8,Gentle Uphill,116.917,117.262,0.345,4,519.2,531.4,12.2
435,9,Moderate Uphill,117.262,117.699,0.437,7,531.4,560,28.6
436,8,Gentle Uphill,117.699,117.836,0.138,4,560,565.6,5.6
437,9,Moderate Uphill,117.836,117.882,0.046,6,565.6,568.5,2.9
438,10,Steep Uphill,117.882,117.951,0.069,9,568.5,574.4,5.9
439,9,Moderate Uphill,117.951,117.997,0.046,7,574.4,577.5,3
440,8,Gentle Uphill,117.997,118.02,0.023,4,577.5,578.4,0.9
441,7,Flat,118.02,119.216,1.196,0,574.4,581.1,6.7
442,8,Gentle Uphill,119.216,119.308,0.092,4,581.1,584.7,3.6
443,9,Moderate Uphill,119.308,119.354,0.046,5,584.7,587.1,2.4
444,8,Gentle Uphill,119.354,119.423,0.069,4,587.1,589.8,2.8
445,7,Flat,119.423,119.606,0.184,2,589.8,593.7,3.8
446,8,Gentle Uphill,119.606,119.629,0.023,3,593.7,594.3,0.6
447,7,Flat,119.629,119.652,0.023,2,594.3,594.8,0.6
448,8,Gentle Uphill,119.652,119.882,0.23,3,594.8,601.2,6.4
449,7,Flat,119.882,120.181,0.299,0,600.7,602.1,1.4
450,8,Gentle Uphill,120.181,120.365,0.184,3,602.1,607.1,5.1
451,7,Flat,120.365,120.618,0.253,1,607.1,610.4,3.2
452,6,Gentle Downhill,120.618,120.848,0.23,-3,602.2,609.3,7.1
453,7,Flat,120.848,120.871,0.023,-2,601.6,602.2,0.6
454,6,Gentle Downhill,120.871,120.986,0.115,-3,598.3,601.6,3.3
455,7,Flat,120.986,121.262,0.276,0,597,598.3,1.3
456,6,Gentle Downhill,121.262,121.4,0.138,-3,593,597.6,4.6
457,7,Flat,121.4,122.481,1.081,0,587.5,594.3,6.8
458,8,Gentle Uphill,122.481,122.619,0.138,3,588.3,592.9,4.6
459,7,Flat,122.619,122.918,0.299,1,592.9,596.7,3.8
460,8,Gentle Uphill,122.918,123.033,0.115,4,596.7,601,4.3
461,7,Flat,123.033,123.217,0.184,1,601,603.7,2.7
462,8,Gentle Uphill,123.217,123.286,0.069,4,603.7,606.5,2.7
463,9,Moderate Uphill,123.286,123.332,0.046,5,606.5,609,2.5
464,8,Gentle Uphill,123.332,123.355,0.023,4,609,609.8,0.9
465,7,Flat,123.355,123.493,0.138,0,609.3,610.6,1.3
466,6,Gentle Downhill,123.493,123.7,0.207,-3,602.9,609.3,6.4
467,7,Flat,123.7,124.551,0.851,-1,593.8,602.9,9.1
468,8,Gentle Uphill,124.551,124.62,0.069,4,595,597.9,2.9
469,9,Moderate Uphill,124.62,124.689,0.069,7,597.9,602.7,4.8
470,10,Steep Uphill,124.689,125.263,0.574,9,602.7,654,51.3
471,9,Moderate Uphill,125.263,125.424,0.161,6,654,664.1,10.1
472,8,Gentle Uphill,125.424,125.493,0.069,5,664.1,667.4,3.3
473,9,Moderate Uphill,125.493,125.654,0.161,6,667.4,676.5,9.1
474,8,Gentle Uphill,125.654,125.953,0.299,4,676.5,689.9,13.4
475,9,Moderate Uphill,125.953,126.734,0.781,7,689.9,741.3,51.4
476,8,Gentle Uphill,126.734,126.757,0.023,4,741.3,742.2,0.9
477,7,Flat,126.757,126.964,0.207,-1,740.3,742.9,2.6
478,6,Gentle Downhill,126.964,127.056,0.092,-3,737.6,740.3,2.7
479,7,Flat,127.056,127.171,0.115,0,736.9,737.9,1
480,8,Gentle Uphill,127.171,127.24,0.069,4,737.9,740.8,2.9
481,9,Moderate Uphill,127.24,127.424,0.184,7,740.8,753.9,13.1
482,10,Steep Uphill,127.424,127.447,0.023,8,753.9,755.8,1.9
483,9,Moderate Uphill,127.447,127.653,0.206,7,755.8,769.6,13.9
484,8,Gentle Uphill,127.653,127.699,0.046,4,769.6,771.3,1.7
485,7,Flat,127.699,127.837,0.138,2,771.3,773.6,2.3
486,8,Gentle Uphill,127.837,127.952,0.115,4,773.6,778,4.4
487,7,Flat,127.952,128.067,0.115,0,778,778.8,0.8
488,6,Gentle Downhill,128.067,128.343,0.276,-4,768,778,10
489,7,Flat,128.343,128.711,0.368,-1,762.5,768,5.5
490,6,Gentle Downhill,128.711,128.918,0.207,-4,754.9,762.5,7.6
491,7,Flat,128.918,129.079,0.161,-2,751.5,754.9,3.4
492,6,Gentle Downhill,129.079,129.125,0.046,-4,749.7,751.5,1.8
493,5,Moderate Downhill,129.125,129.217,0.092,-6,744.3,749.7,5.4
494,6,Gentle Downhill,129.217,129.24,0.023,-4,743.3,744.3,0.9
495,7,Flat,129.24,129.286,0.046,-1,743,743.3,0.4
496,8,Gentle Uphill,129.286,129.332,0.046,3,743,744.6,1.6
497,9,Moderate Uphill,129.332,129.401,0.069,6,744.6,748.4,3.8
498,8,Gentle Uphill,129.401,129.447,0.046,3,748.4,749.9,1.5
499,7,Flat,129.447,129.723,0.276,0,749.7,751,1.3
500,8,Gentle Uphill,129.723,129.815,0.092,4,751,754.6,3.6
501,9,Moderate Uphill,129.815,129.861,0.046,7,754.6,757.7,3.1
502,10,Steep Uphill,129.861,130.044,0.184,9,757.7,774.6,16.9
503,9,Moderate Uphill,130.044,130.228,0.184,7,774.6,787.1,12.4
504,8,Gentle Uphill,130.228,130.274,0.046,4,787.1,788.7,1.6
505,7,Flat,130.274,130.435,0.161,2,788.7,791.5,2.8
506,8,Gentle Uphill,130.435,130.596,0.161,4,791.5,798.1,6.6
507,7,Flat,130.596,130.711,0.115,1,798.1,799.7,1.6
508,8,Gentle Uphill,130.711,130.757,0.046,3,799.7,801.3,1.5
509,9,Moderate Uphill,130.757,130.826,0.069,7,801.3,805.8,4.5
510,10,Steep Uphill,130.826,130.964,0.138,9,805.8,818.5,12.7
511,9,Moderate Uphill,130.964,131.125,0.161,6,818.5,828.2,9.7
512,8,Gentle Uphill,131.125,131.194,0.069,4,828.2,830.9,2.7
513,7,Flat,131.194,131.263,0.069,2,830.9,832.4,1.5
514,8,Gentle Uphill,131.263,131.332,0.069,3,832.4,834.3,1.9
515,7,Flat,131.332,131.699,0.368,0,833.4,835.6,2.2
516,8,Gentle Uphill,131.699,131.975,0.276,3,834.2,843.8,9.6
517,9,Moderate Uphill,131.975,132.228,0.253,7,843.8,861.8,18
518,10,Steep Uphill,132.228,132.251,0.023,8,861.8,863.6,1.8
519,9,Moderate Uphill,132.251,132.343,0.092,7,863.6,869.6,6
520,8,Gentle Uphill,132.343,132.412,0.069,5,869.6,872.7,3.1
521,9,Moderate Uphill,132.412,132.849,0.437,7,872.7,901.8,29
522,8,Gentle Uphill,132.849,132.895,0.046,4,901.8,903.5,1.8
523,7,Flat,132.895,132.987,0.092,-1,902.9,903.9,1
524,6,Gentle Downhill,132.987,133.056,0.069,-3,900.8,902.9,2
525,7,Flat,133.056,133.079,0.023,-2,900.3,900.8,0.5
526,6,Gentle Downhill,133.079,133.102,0.023,-3,899.7,900.3,0.6
527,7,Flat,133.102,133.24,0.138,0,898.6,899.7,1.1
528,8,Gentle Uphill,133.24,133.814,0.575,4,899.3,920,20.7
529,9,Moderate Uphill,133.814,133.906,0.092,6,920,925.7,5.7
530,10,Steep Uphill,133.906,134.228,0.321,9,925.7,956,30.3
531,9,Moderate Uphill,134.228,134.273,0.046,6,956,958.9,3
532,8,Gentle Uphill,134.273,134.296,0.023,3,958.9,959.7,0.8
533,7,Flat,134.296,134.365,0.069,2,959.7,960.9,1.1
534,8,Gentle Uphill,134.365,134.411,0.046,4,960.9,962.5,1.7
535,9,Moderate Uphill,134.411,134.457,0.046,7,962.5,965.8,3.3
536,10,Steep Uphill,134.457,134.503,0.046,8,965.8,969.7,3.9
537,9,Moderate Uphill,134.503,134.549,0.046,7,969.7,972.7,3
538,8,Gentle Uphill,134.549,134.572,0.023,4,972.7,973.6,0.9
539,7,Flat,134.572,134.732,0.161,1,973.6,974.5,0.9
540,8,Gentle Uphill,134.732,134.801,0.069,4,974.5,977.1,2.6
541,9,Moderate Uphill,134.801,134.939,0.138,6,977.1,985.7,8.6
542,10,Steep Uphill,134.939,134.985,0.046,8,985.7,989.5,3.8
543,9,Moderate Uphill,134.985,135.031,0.046,6,989.5,992.3,2.8
544,8,Gentle Uphill,135.031,135.054,0.023,4,992.3,993.2,0.9
545,7,Flat,135.054,135.1,0.046,2,993.2,994.2,1.1
546,8,Gentle Uphill,135.1,135.192,0.092,4,994.2,997.6,3.3
547,9,Moderate Uphill,135.192,135.49,0.298,6,997.6,1015.8,18.2
548,8,Gentle Uphill,135.49,135.536,0.046,4,1015.8,1017.4,1.6
549,7,Flat,135.536,135.628,0.092,2,1017.4,1019,1.6
550,8,Gentle Uphill,135.628,135.697,0.069,4,1019,1021.8,2.8
551,9,Moderate Uphill,135.697,135.766,0.069,6,1021.8,1025.6,3.8
552,8,Gentle Uphill,135.766,135.812,0.046,4,1025.6,1027.4,1.8
553,7,Flat,135.812,135.881,0.069,0,1027.1,1027.7,0.6
554,6,Gentle Downhill,135.881,135.904,0.023,-4,1026.2,1027.1,0.9
555,5,Moderate Downhill,135.904,136.019,0.115,-6,1019,1026.2,7.2
556,6,Gentle Downhill,136.019,136.042,0.023,-4,1018,1019,1
557,7,Flat,136.042,136.111,0.069,-1,1017.3,1018,0.7
558,8,Gentle Uphill,136.111,136.157,0.046,4,1017.6,1019.4,1.8
559,9,Moderate Uphill,136.157,136.203,0.046,5,1019.4,1021.8,2.4
560,8,Gentle Uphill,136.203,136.226,0.023,4,1021.8,1022.8,1
561,7,Flat,136.226,136.272,0.046,1,1022.8,1023.3,0.5
562,6,Gentle Downhill,136.272,136.387,0.115,-4,1018.9,1023.3,4.4
563,7,Flat,136.387,136.456,0.069,0,1018.6,1019,0.5
564,8,Gentle Uphill,136.456,136.593,0.138,4,1019,1024.7,5.6
565,7,Flat,136.593,136.708,0.115,-1,1024,1025.1,1
566,6,Gentle Downhill,136.708,136.846,0.138,-3,1019.5,1024,4.5
567,7,Flat,136.846,136.938,0.092,0,1018.8,1019.5,0.7
568,8,Gentle Uphill,136.938,136.961,0.023,4,1019.5,1020.4,1
569,9,Moderate Uphill,136.961,137.03,0.069,5,1020.4,1024.2,3.8
570,8,Gentle Uphill,137.03,137.076,0.046,3,1024.2,1025.8,1.5
571,7,Flat,137.076,137.306,0.23,1,1025.8,1028.3,2.5
572,6,Gentle Downhill,137.306,137.329,0.023,-4,1026.7,1027.6,0.9
573,5,Moderate Downhill,137.329,137.421,0.092,-6,1021.1,1026.7,5.6
574,6,Gentle Downhill,137.421,137.513,0.092,-3,1018.1,1021.1,3
575,7,Flat,137.513,137.536,0.023,-2,1017.5,1018.1,0.5
576,6,Gentle Downhill,137.536,137.605,0.069,-4,1014.8,1017.5,2.7
577,5,Moderate Downhill,137.605,137.72,0.115,-7,1006.5,1014.8,8.3
578,4,Steep Downhill,137.72,137.743,0.023,-8,1004.6,1006.5,1.8
579,5,Moderate Downhill,137.743,137.789,0.046,-8,1001,1004.6,3.6
580,4,Steep Downhill,137.789,137.903,0.115,-9,990.7,1001,10.3
581,5,Moderate Downhill,137.903,137.972,0.069,-7,986.1,990.7,4.7
582,6,Gentle Downhill,137.972,138.156,0.184,-4,979.1,986.1,7
583,7,Flat,138.156,138.225,0.069,-2,977.5,979.1,1.6
584,6,Gentle Downhill,138.225,138.271,0.046,-4,975.9,977.5,1.6
585,5,Moderate Downhill,138.271,138.386,0.115,-6,968.9,975.9,7
586,6,Gentle Downhill,138.386,138.638,0.253,-4,959.2,968.9,9.6
587,5,Moderate Downhill,138.638,138.753,0.115,-6,952.8,959.2,6.5
588,6,Gentle Downhill,138.753,138.891,0.137,-4,946.7,952.8,6.1
589,5,Moderate Downhill,138.891,139.098,0.207,-7,932.6,946.7,14.1
590,6,Gentle Downhill,139.098,139.144,0.046,-4,930.7,932.6,1.9
591,7,Flat,139.144,139.236,0.092,-2,928.7,930.7,2
592,6,Gentle Downhill,139.236,139.258,0.023,-4,927.9,928.7,0.8
593,5,Moderate Downhill,139.258,139.304,0.046,-7,924.8,927.9,3.1
594,4,Steep Downhill,139.304,139.35,0.046,-9,920.6,924.8,4.2
595,5,Moderate Downhill,139.35,139.395,0.045,-7,917.4,920.6,3.2
596,6,Gentle Downhill,139.395,139.441,0.046,-4,915.7,917.4,1.7
597,7,Flat,139.441,139.831,0.39,-1,910.6,915.7,5
598,6,Gentle Downhill,139.831,139.969,0.138,-3,906.6,910.6,4
599,7,Flat,139.969,140.36,0.391,-1,901.5,906.6,5.1
600,6,Gentle Downhill,140.36,140.383,0.023,-3,900.8,901.5,0.7
601,7,Flat,140.383,140.544,0.161,-1,899.1,900.8,1.8
602,8,Gentle Uphill,140.544,140.636,0.092,3,899.6,902.5,2.9
603,7,Flat,140.636,141.05,0.414,-1,900.3,903,2.8
604,6,Gentle Downhill,141.05,141.211,0.161,-4,893.9,900.3,6.3
605,5,Moderate Downhill,141.211,141.28,0.069,-5,890.2,893.9,3.7
606,6,Gentle Downhill,141.28,141.326,0.046,-4,888.4,890.2,1.8
607,7,Flat,141.326,141.372,0.046,-2,887.3,888.4,1
608,6,Gentle Downhill,141.372,141.579,0.207,-3,880.7,887.3,6.6
609,7,Flat,141.579,142.038,0.46,-1,877.5,881.1,3.6
610,6,Gentle Downhill,142.038,142.061,0.023,-3,876.9,877.5,0.6
611,7,Flat,142.061,142.475,0.414,-1,872,876.9,4.9
612,6,Gentle Downhill,142.475,142.751,0.276,-4,862.1,872,9.8
613,7,Flat,142.751,143.234,0.483,-1,855.8,862.1,6.4
614,6,Gentle Downhill,143.234,143.418,0.184,-3,850,855.8,5.7
615,7,Flat,143.418,143.441,0.023,-2,849.5,850,0.5
616,6,Gentle Downhill,143.441,143.464,0.023,-3,848.9,849.5,0.6
617,7,Flat,143.464,144.659,1.195,-1,837.4,848.9,11.5
618,8,Gentle Uphill,144.659,145.556,0.897,4,839.5,871.9,32.4
619,7,Flat,145.556,145.602,0.046,2,871.9,873,1.1
620,8,Gentle Uphill,145.602,145.762,0.16,4,873,879,6.1
621,9,Moderate Uphill,145.762,145.808,0.046,5,879,881.4,2.3
622,8,Gentle Uphill,145.808,145.9,0.092,4,881.4,884.9,3.5
623,7,Flat,145.9,145.992,0.092,2,884.9,886.6,1.7
624,8,Gentle Uphill,145.992,146.061,0.069,3,886.6,889,2.4
625,9,Moderate Uphill,146.061,146.198,0.137,6,889,897,8
626,8,Gentle Uphill,146.198,146.221,0.023,4,897,897.8,0.9
627,7,Flat,146.221,146.313,0.092,0,897.7,898.5,0.8
628,6,Gentle Downhill,146.313,146.359,0.046,-3,896.4,897.7,1.3
629,7,Flat,146.359,146.497,0.138,0,895.1,896.4,1.3
630,8,Gentle Uphill,146.497,146.543,0.046,3,895.8,897.1,1.3
631,7,Flat,146.543,146.658,0.115,2,897.1,899.4,2.3
632,8,Gentle Uphill,146.658,146.75,0.092,3,899.4,902.3,2.9
633,7,Flat,146.75,147.002,0.253,1,902.3,905.7,3.4
634,8,Gentle Uphill,147.002,147.071,0.069,3,905.7,907.5,1.8
635,7,Flat,147.071,147.232,0.161,2,907.5,911,3.5
636,8,Gentle Uphill,147.232,147.278,0.046,3,911,912.2,1.2
637,7,Flat,147.278,147.714,0.436,2,912.2,921.3,9.1
638,8,Gentle Uphill,147.714,147.829,0.115,3,921.3,924.5,3.2
639,7,Flat,147.829,148.151,0.322,1,924.5,928.7,4.2
640,8,Gentle Uphill,148.151,148.266,0.115,3,928.7,931.7,3
641,7,Flat,148.266,148.817,0.552,2,931.7,942,10.3
642,8,Gentle Uphill,148.817,148.978,0.161,3,942,946.9,4.9
643,7,Flat,148.978,149.438,0.459,1,946.9,953.8,6.8
644,8,Gentle Uphill,149.438,149.736,0.299,3,953.8,962.7,8.9
645,7,Flat,149.736,150.54,0.804,1,962.7,973.3,10.6
646,8,Gentle Uphill,150.54,150.586,0.046,3,973.3,974.6,1.3
647,7,Flat,150.586,151.322,0.735,2,974.6,986.1,11.5
648,8,Gentle Uphill,151.322,151.413,0.092,3,986.1,988.9,2.8
649,7,Flat,151.413,151.896,0.482,2,988.9,997.5,8.7
650,8,Gentle Uphill,151.896,152.033,0.138,4,997.5,1002.5,4.9
651,7,Flat,152.033,152.194,0.161,2,1002.5,1005.5,3.1
652,8,Gentle Uphill,152.194,152.355,0.161,4,1005.5,1011.3,5.8
653,7,Flat,152.355,152.745,0.391,2,1011.3,1018.1,6.8
654,8,Gentle Uphill,152.745,152.998,0.252,4,1018.1,1027.5,9.4
655,7,Flat,152.998,153.319,0.321,1,1027.5,1031,3.5
656,8,Gentle Uphill,153.319,153.457,0.138,3,1031,1035.6,4.6
657,9,Moderate Uphill,153.457,153.548,0.092,5,1035.6,1040.3,4.8
658,8,Gentle Uphill,153.548,153.571,0.023,4,1040.3,1041.2,0.8
659,7,Flat,153.571,154.123,0.552,2,1041.2,1050.2,9
660,8,Gentle Uphill,154.123,154.192,0.069,3,1050.2,1052.3,2.2
661,9,Moderate Uphill,154.192,154.421,0.229,6,1052.3,1066.5,14.2
662,8,Gentle Uphill,154.421,154.513,0.092,4,1066.5,1070,3.5
663,7,Flat,154.513,155.387,0.874,1,1069.5,1082.1,12.6
664,8,Gentle Uphill,155.387,155.41,0.023,3,1082.1,1082.7,0.6
665,7,Flat,155.41,155.433,0.023,2,1082.7,1083.2,0.5
666,8,Gentle Uphill,155.433,155.662,0.23,3,1083.2,1090.2,7.1
667,7,Flat,155.662,156.214,0.552,0,1090.2,1092.8,2.5
668,8,Gentle Uphill,156.214,156.329,0.115,3,1092.8,1096.1,3.3
669,7,Flat,156.329,156.352,0.023,2,1096.1,1096.6,0.6
670,8,Gentle Uphill,156.352,156.766,0.414,4,1096.6,1111.2,14.6
671,9,Moderate Uphill,156.766,156.881,0.115,5,1111.2,1117.3,6.1
672,8,Gentle Uphill,156.881,157.226,0.345,3,1117.3,1129.2,11.9
673,7,Flat,157.226,157.249,0.023,2,1129.2,1129.7,0.5
674,8,Gentle Uphill,157.249,157.295,0.046,3,1129.7,1131,1.3
675,7,Flat,157.295,157.616,0.321,1,1131,1134,3
676,8,Gentle Uphill,157.616,157.984,0.368,3,1134,1146.3,12.3
677,7,Flat,157.984,158.145,0.161,0,1146.3,1147.6,1.3
678,6,Gentle Downhill,158.145,158.306,0.161,-4,1140.8,1146.8,5.9
679,5,Moderate Downhill,158.306,158.329,0.023,-5,1139.7,1140.8,1.2
680,6,Gentle Downhill,158.329,158.536,0.207,-3,1132.5,1139.7,7.2
681,7,Flat,158.536,158.582,0.046,-2,1131.5,1132.5,1
682,6,Gentle Downhill,158.582,158.605,0.023,-3,1130.9,1131.5,0.6
683,7,Flat,158.605,159.18,0.575,-1,1127.4,1130.9,3.6
684,6,Gentle Downhill,159.18,159.295,0.115,-3,1123.4,1127.4,3.9
685,7,Flat,159.295,159.364,0.069,-2,1122.3,1123.4,1.1
686,6,Gentle Downhill,159.364,159.433,0.069,-3,1120,1122.3,2.3
687,5,Moderate Downhill,159.433,159.732,0.299,-6,1102.4,1120,17.6
688,4,Steep Downhill,159.732,159.801,0.069,-8,1096.7,1102.4,5.7
689,5,Moderate Downhill,159.801,159.869,0.068,-6,1092.5,1096.7,4.2
690,6,Gentle Downhill,159.869,159.937,0.069,-4,1089.6,1092.5,3
691,5,Moderate Downhill,159.937,159.96,0.023,-5,1088.4,1089.6,1.1
692,6,Gentle Downhill,159.96,160.006,0.046,-5,1086.3,1088.4,2.2
693,5,Moderate Downhill,160.006,160.534,0.528,-7,1049.8,1086.3,36.4
694,4,Steep Downhill,160.534,160.557,0.023,-8,1048,1049.8,1.9
695,5,Moderate Downhill,160.557,160.741,0.184,-6,1036.1,1048,11.9
696,4,Steep Downhill,160.741,160.81,0.069,-8,1030.4,1036.1,5.6
697,5,Moderate Downhill,160.81,160.948,0.138,-6,1021.5,1030.4,8.9
698,6,Gentle Downhill,160.948,161.063,0.115,-4,1016.6,1021.5,4.9
699,5,Moderate Downhill,161.063,161.109,0.046,-6,1013.8,1016.6,2.8
700,4,Steep Downhill,161.109,161.361,0.252,-9,992.2,1013.8,21.6
701,5,Moderate Downhill,161.361,161.865,0.504,-7,957.6,992.2,34.7
702,4,Steep Downhill,161.865,162.622,0.757,-9,888.6,957.6,68.9
703,5,Moderate Downhill,162.622,162.668,0.046,-8,885.1,888.6,3.6
704,4,Steep Downhill,162.668,163.056,0.388,-9,850.9,885.1,34.1
705,5,Moderate Downhill,163.056,163.078,0.023,-8,849.1,850.9,1.8
706,4,Steep Downhill,163.078,163.238,0.159,-9,834.9,849.1,14.2
707,5,Moderate Downhill,163.238,163.261,0.023,-8,833.1,834.9,1.8
708,4,Steep Downhill,163.261,163.558,0.297,-9,807.2,833.1,25.9
709,5,Moderate Downhill,163.558,163.672,0.114,-6,800.3,807.2,6.9
710,6,Gentle Downhill,163.672,163.809,0.137,-4,794.5,800.3,5.8
711,5,Moderate Downhill,163.809,163.923,0.114,-7,786.8,794.5,7.7
712,4,Steep Downhill,163.923,163.969,0.046,-8,783,786.8,3.8
713,5,Moderate Downhill,163.969,164.015,0.046,-8,779.5,783,3.5
714,4,Steep Downhill,164.015,164.038,0.023,-8,777.7,779.5,1.9
715,5,Moderate Downhill,164.038,164.221,0.183,-7,764.8,777.7,12.8
716,4,Steep Downhill,164.221,164.29,0.069,-8,759.2,764.8,5.6
717,5,Moderate Downhill,164.29,164.313,0.023,-8,757.4,759.2,1.8
718,4,Steep Downhill,164.313,164.704,0.391,-9,723.9,757.4,33.6
719,5,Moderate Downhill,164.704,164.842,0.138,-8,713.4,723.9,10.5
720,4,Steep Downhill,164.842,164.934,0.092,-9,705.6,713.4,7.8
721,5,Moderate Downhill,164.934,165.026,0.092,-6,699.6,705.6,6
722,6,Gentle Downhill,165.026,165.256,0.23,-4,691,699.6,8.5
723,7,Flat,165.256,165.739,0.483,-1,686.3,691,4.8
724,6,Gentle Downhill,165.739,165.762,0.023,-4,685.4,686.3,0.9
725,5,Moderate Downhill,165.762,166.015,0.253,-7,668.3,685.4,17.1
726,6,Gentle Downhill,166.015,166.084,0.069,-4,665.7,668.3,2.6
727,7,Flat,166.084,166.291,0.207,-1,662.8,665.7,2.9
728,6,Gentle Downhill,166.291,166.498,0.207,-4,655.2,662.8,7.6
729,5,Moderate Downhill,166.498,166.521,0.023,-5,654.1,655.2,1.2
730,6,Gentle Downhill,166.521,166.705,0.184,-4,646.6,654.1,7.5
731,5,Moderate Downhill,166.705,167.096,0.391,-6,621.3,646.6,25.2
732,4,Steep Downhill,167.096,167.211,0.115,-9,611.5,621.3,9.8
733,5,Moderate Downhill,167.211,167.625,0.414,-7,584.1,611.5,27.4
734,6,Gentle Downhill,167.625,167.74,0.115,-4,579.6,584.1,4.5
735,7,Flat,167.74,167.854,0.115,-2,577.4,579.6,2.2
736,6,Gentle Downhill,167.854,167.877,0.023,-3,576.8,577.4,0.6
737,7,Flat,167.877,168.153,0.276,-1,575.2,576.8,1.6
738,6,Gentle Downhill,168.153,168.268,0.115,-3,571.6,575.2,3.6
739,7,Flat,168.268,168.567,0.299,0,570.4,571.6,1.2
